"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2017","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","9,090",""
"SURVEY","2016","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","9,520",""
"SURVEY","2015","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","9,900",""
"SURVEY","2014","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","10,290",""
"SURVEY","2013","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","10,860",""
"SURVEY","2012","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","11,490",""
"SURVEY","2011","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","12,100",""
"SURVEY","2010","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","12,710",""
"SURVEY","2009","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","13,170",""
"SURVEY","2008","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","13,730",""
"SURVEY","2007","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","14,170",""
"SURVEY","2006","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","14,640",""
"SURVEY","2005","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","15,100",""
"SURVEY","2004","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","15,570",""
"SURVEY","2003","YEAR","","STATE","WISCONSIN","55","","","","","","","00000000","","CATTLE","CATTLE, COWS, MILK, LICENSED HERD - OPERATIONS WITH INVENTORY, AVG","TOTAL","NOT SPECIFIED","16,400",""
